author,date,headlines,read_more,text
Ankush Verma,"29 Apr 2018,Sunday",North Korea to unify time zone with South Korea,https://www.hindustantimes.com/world-news/north-korea-to-rejoin-south-s-time-zone-in-conciliatory-gesture/story-KkpyED0L35KlnelThqkBHO.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"North Korean leader Kim Jong-un has said he would move the country's clocks 30 minutes forward to unify with South Korea's time zone. During his South Korea visit, Jong-un said he found it ""heartbreaking"" to see two wall clocks hanging in the summit room showing different times. North Korea had put back its clocks by 30 minutes in 2015."
Dishant Sharma,"29 Apr 2018,Sunday",Aus honours white athlete involved in 'Black Power' salute,https://www.hindustantimes.com/other-sports/australia-honours-black-power-hero-peter-norman-with-olympics-award/story-1XVXBOqKHQyrAxSXlKCEzI.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Australia posthumously honoured Peter Norman, the sole white sprinter standing in solidarity at the podium during the silent 'Black Power' salute civil rights protest by African-American athletes at the 1968 Mexico Olympics. The Aussie sprinter supported the protest by US' Tommie Smith and John Carlos by wearing a human rights badge, leading to being frozen out of future Olympics selection."
Dishant Sharma,"29 Apr 2018,Sunday",78-yr-old golf legend uses unproven £30 therapy to cure pain,http://www.dailymail.co.uk/news/article-5667021/Stem-cells-cured-agony-says-golfing-legend-Jack-Nicklaus-undergoes-treatment.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Golfing legend Jack Nicklaus, who has won record 18 Majors, used a £30 experimental stem cell therapy to cure his decades-long back pain, allowing him to return to golf. The 78-year-old, who tried various procedures to tackle his pain, has taken over 10,000 swings in his golfing career. ""I can now stand for as long as I want"", Nicklaus said."
Dishant Sharma,"29 Apr 2018,Sunday","Highest-ever 50-over total of 496/4 had 320 runs as 4s, 6s",https://www.theguardian.com/sport/2007/apr/30/cricket.sport1?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The highest-ever score in professional limited-overs cricket of 496/4, scored by Surrey on April 29, 2007, featured 320 runs scored in boundaries. The innings, which saw 22 sixes and 47 fours, witnessed an opening stand of 294 runs with Ali Brown scoring a 97-ball 176. Notably, Surrey's second-highest score of 438/5 also featured Ali top scoring with a 160-ball 268."
Shifa Naseer,"29 Apr 2018,Sunday",Facebook to reduce size of posts featuring fake news,https://www.engadget.com/2018/04/28/facebook-shrinks-fake-news-links/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"In its attempt to fight fake news, Facebook has said it will reduce the size of the posts which feature fake news in News Feed. ""We reduce the visual prominence of feed stories that are fact-checked false,"" a Facebook spokesperson said. The company will also display fact-checked links in the 'Related Articles' box contradicting the original link."
Shifa Naseer,"29 Apr 2018,Sunday",Smartwatch which turns user's skin into touchscreen made,https://www.theverge.com/circuitbreaker/2018/4/27/17289572/lumiwatch-projector-smartwatch-arm-touch-screen?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Carnegie Mellon University researchers have unveiled a prototype projector smartwatch called LumiWatch which turns a user's skin into a touchscreen. Users can operate the watch by swiping left to unlock and tapping on the apps which are displayed on their arm. The LumiWatch features a 768 MB RAM, 4 GB flash memory along with Bluetooth and WiFi."
Niharika Prabhakar,"29 Apr 2018,Sunday",₹1L cr to make Bengaluru India's 2nd capital: Cong manifesto,https://www.thenewsminute.com/article/rs-1-lakh-crore-develop-bengaluru-india-s-second-capital-cong-manifesto-80365?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"The Congress' manifesto for the upcoming Karnataka Assembly elections promises to provide ₹1 lakh crore to make the city of Bengaluru eligible for consideration as the second capital city of India. The money will be spent on building more flyovers and executing road-widening exercises, the manifesto added. Other promises included ending manual scavenging and the construction of advanced drainage. "
Radhika Chugh,"29 Apr 2018,Sunday",Order barring free rice to dirty Puducherry villages revoked,https://twitter.com/thekiranbedi/status/990265773900869632?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Hours after issuing an order blocking distribution of free rice to Puducherry villages which have garbage and witness open defecation, L-G Kiran Bedi has withdrawn the directive. She added that her intention to improve the living conditions of rural poor had been ""misread"". CM V Narayanasamy had termed the order ""unconstitutional"", adding that Bedi was meddling with people's fundamental rights."
Radhika Chugh,"29 Apr 2018,Sunday",Stop using horses on Vaishno Devi route: Maneka to J&K govt,https://www.indiatoday.in/india/story/stop-use-of-mules-ponies-in-vaishno-devi-route-maneka-gandhi-to-mehbooba-mufti-1222384-2018-04-28?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"Union Women and Child Development Minister Maneka Gandhi has urged the Jammu and Kashmir government to stop the use of mules and horses to ferry people on the Vaishno Devi route. Adding that the animals expose people to a highly contagious incurable disease called 'glanders', she said it's very difficult to provide veterinary treatment due to terrain and staff shortages."
Niharika Prabhakar,"29 Apr 2018,Sunday",64-year-old doctor arrested for secretly filming patients,http://www.newindianexpress.com/cities/chennai/2018/apr/28/alert-hubby-nabs-chennai-doctor-for-shooting-womans-video-1807351.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ,"M Sivagurunathan, a 64-year-old doctor in Chennai's Mylapore, was arrested after he was caught secretly videotaping a patient in his clinic. The doctor had asked the woman to undress and kept his phone secretly on the table to videotape her, the woman's husband said. The police later found over 30 videos of women shot without their consent on Sivagurunathan's phone."
